,participant,snapshot,bustersAgents.py_compiles,inference.py_compiles,bustersAgents.py_length,inference.py_length,q1_points,q5_points,q6_points,q4_points,q2_points,q7_points,q3_points,total_points
0,P11,0,1,1,6891,19913,0,0,0,0,0,0,0,0.0
1,P11,1,1,1,6891,19913,0,0,0,0,0,0,0,0.0
2,P11,2,1,1,6891,19913,0,0,0,0,0,0,0,0.0
3,P11,3,1,1,6891,19913,0,0,0,0,0,0,0,0.0
4,P11,4,1,1,6891,19913,0,0,0,0,0,0,0,0.0
5,P11,5,1,1,6891,19913,0,0,0,0,0,0,0,0.0
6,P11,6,1,1,6891,19887,0,0,0,0,0,0,0,0.0
7,P11,7,1,1,6891,19887,0,0,0,0,0,0,0,0.0
8,P11,8,1,1,6891,20198,3,0,0,0,0,0,0,3.0
9,P11,9,1,1,6891,20198,3,0,0,0,0,0,0,3.0
10,P11,10,1,1,6891,20198,3,0,0,0,0,0,0,3.0
11,P11,11,1,1,6891,20198,3,0,0,0,0,0,0,3.0
12,P11,12,1,1,6891,20198,3,0,0,0,0,0,0,3.0
13,P11,13,1,1,6891,20198,3,0,0,0,0,0,0,3.0
14,P11,14,1,1,6891,20198,3,0,0,0,0,0,0,3.0
15,P11,15,1,1,6891,20198,3,0,0,0,0,0,0,3.0
16,P11,16,1,1,6891,20198,3,0,0,0,0,0,0,3.0
17,P11,17,1,1,6891,20198,3,0,0,0,0,0,0,3.0
18,P11,18,1,1,6891,20210,3,0,0,0,0,0,0,3.0
19,P11,19,1,1,6891,20210,3,0,0,0,0,0,0,3.0
20,P11,20,1,1,6891,20303,3,0,0,0,0,0,0,3.0
21,P11,21,1,1,6891,20589,3,0,0,0,4,0,0,7.0
22,P11,22,1,1,6891,20589,3,0,0,0,4,0,0,7.0
23,P11,23,1,1,6891,20589,3,0,0,0,4,0,0,7.0
24,P11,24,0,1,7628,20589,0,0,0,0,0,0,0,7.0
25,P11,25,0,1,7557,20589,0,0,0,0,0,0,0,7.0
26,P12,0,1,1,6891,19913,0,0,0,0,0,0,0,0.0
27,P12,1,1,1,6891,19913,0,0,0,0,0,0,0,0.0
28,P12,2,1,1,6891,19940,0,0,0,0,0,0,0,0.0
29,P12,3,1,1,6891,19921,0,0,0,0,0,0,0,0.0
30,P12,4,1,1,6891,19974,0,0,0,0,0,0,0,0.0
31,P12,5,1,1,6891,19976,0,0,0,0,0,0,0,0.0
32,P12,6,1,1,6891,20045,0,0,0,0,0,0,0,0.0
33,P12,7,1,1,6891,20129,0,0,0,0,0,0,0,0.0
34,P12,8,1,1,6891,20178,0,0,0,0,0,0,0,0.0
35,P12,9,1,1,6891,20175,3,0,0,0,0,0,0,3.0
36,P12,10,1,1,6891,20185,3,0,0,0,0,0,0,3.0
37,P12,11,1,0,6891,20206,0,0,0,0,0,0,0,3.0
38,P12,12,1,1,6891,20191,3,0,0,0,0,0,0,3.0
39,P12,13,1,0,6891,20232,0,0,0,0,0,0,0,3.0
40,P12,14,1,1,6891,20277,3,0,0,0,0,0,0,3.0
41,P12,15,1,1,6891,20277,3,0,0,0,0,0,0,3.0
42,P12,16,1,1,6891,20298,3,0,0,0,0,0,0,3.0
43,P12,17,1,0,6891,20339,0,0,0,0,0,0,0,3.0
44,P12,18,1,1,6891,20424,3,0,0,0,0,0,0,3.0
45,P12,19,1,1,6891,20435,3,0,0,0,0,0,0,3.0
46,P12,20,1,1,6891,20423,3,0,0,0,0,0,0,3.0
47,P13,0,1,1,6891,19913,0,0,0,0,0,0,0,0.0
48,P13,1,1,1,6891,19889,0,0,0,0,0,0,0,0.0
49,P13,2,1,1,6891,19889,0,0,0,0,0,0,0,0.0
50,P13,3,1,1,6891,19889,0,0,0,0,0,0,0,0.0
51,P13,4,1,0,6891,19904,0,0,0,0,0,0,0,0.0
52,P13,5,1,0,6891,19904,0,0,0,0,0,0,0,0.0
53,P13,6,1,1,6891,20122,0,0,0,0,0,0,0,0.0
54,P13,7,1,1,6891,20096,0,0,0,0,0,0,0,0.0
55,P13,8,1,1,6891,20122,3,0,0,0,0,0,0,3.0
56,P13,9,1,1,6891,20122,3,0,0,0,0,0,0,3.0
57,P13,10,1,1,6891,20122,3,0,0,0,0,0,0,3.0
58,P13,11,1,0,6891,20258,0,0,0,0,0,0,0,3.0
59,P13,12,1,0,6891,20365,0,0,0,0,0,0,0,3.0
60,P13,13,1,0,6891,20365,0,0,0,0,0,0,0,3.0
61,P13,14,1,1,6891,20266,3,0,0,0,0,0,0,3.0
62,P13,15,1,1,6891,20230,3,0,0,0,0,0,0,3.0
