,participant,snapshot,bustersAgents.py_compiles,inference.py_compiles,bustersAgents.py_length,inference.py_length,q4_points,q1_points,q6_points,q5_points,q2_points,q7_points,q3_points,total_points,total_points_max
0,P11,0,1,1,6891,19913,0,0,0,0,0,0,0,0,0
1,P11,1,1,1,6891,19913,0,0,0,0,0,0,0,0,0
2,P11,1557,1,1,6891,19913,0,0,0,0,0,0,0,0,0
3,P11,1558,1,1,6891,19913,0,0,0,0,0,0,0,0,0
4,P11,1562,1,1,6891,19913,0,0,0,0,0,0,0,0,0
5,P11,1563,1,0,6891,19887,0,0,0,0,0,0,0,0,0
6,P11,1564,1,0,6891,20379,0,0,0,0,0,0,0,0,0
7,P11,1565,1,0,6891,20198,0,0,0,0,0,0,0,0,0
8,P11,1574,1,0,6891,20198,0,0,0,0,0,0,0,0,0
9,P11,1575,1,0,6891,20218,0,0,0,0,0,0,0,0,0
10,P11,1577,1,0,6891,20487,0,0,0,0,0,0,0,0,0
11,P11,1578,1,0,6891,20646,0,0,0,0,0,0,0,0,0
12,P11,1580,0,0,7872,20646,0,0,0,0,0,0,0,0,0
13,P11,1581,0,0,7588,20646,0,0,0,0,0,0,0,0,0
14,P11,1582,0,0,7611,20646,0,0,0,0,0,0,0,0,0
15,P12,0,1,1,6891,19913,0,0,0,0,0,0,0,0,0
16,P12,1,1,1,6891,19913,0,0,0,0,0,0,0,0,0
17,P12,2,1,1,6891,19913,0,0,0,0,0,0,0,0,0
18,P12,1868,1,0,6891,19939,0,0,0,0,0,0,0,0,0
19,P12,1869,1,0,6891,19940,0,0,0,0,0,0,0,0,0
20,P12,1870,1,1,6891,19921,0,0,0,0,0,0,0,0,0
21,P12,1871,1,0,6891,19974,0,0,0,0,0,0,0,0,0
22,P12,1872,1,0,6891,19976,0,0,0,0,0,0,0,0,0
23,P12,1873,1,0,6891,20128,0,0,0,0,0,0,0,0,0
24,P12,1874,1,0,6891,20141,0,0,0,0,0,0,0,0,0
25,P12,1875,1,0,6891,20187,0,0,0,0,0,0,0,0,0
26,P12,1877,1,0,6891,20197,0,0,0,0,0,0,0,0,0
27,P12,1878,1,0,6891,20203,0,0,0,0,0,0,0,0,0
28,P12,1879,1,0,6891,20187,0,0,0,0,0,0,0,0,0
29,P12,1880,1,0,6891,20282,0,0,0,0,0,0,0,0,0
30,P12,1881,1,0,6891,20301,0,0,0,0,0,0,0,0,0
31,P12,1882,1,0,6891,20303,0,0,0,0,0,0,0,0,0
32,P12,1883,1,0,6891,20323,0,0,0,0,0,0,0,0,0
33,P12,1884,1,0,6891,20459,0,0,0,0,0,0,0,0,0
34,P12,1885,1,0,6891,20470,0,0,0,0,0,0,0,0,0
35,P12,1886,1,0,6891,20469,0,0,0,0,0,0,0,0,0
36,P13,0,1,1,6891,19913,0,0,0,0,0,0,0,0,0
37,P13,1,1,0,6891,19889,0,0,0,0,0,0,0,0,0
38,P13,4,1,0,6891,19912,0,0,0,0,0,0,0,0,0
39,P13,5,1,0,6891,19947,0,0,0,0,0,0,0,0,0
40,P13,6,1,0,6891,20103,0,0,0,0,0,0,0,0,0
41,P13,8,1,0,6891,20129,0,0,0,0,0,0,0,0,0
42,P13,11,1,0,6891,20292,0,0,0,0,0,0,0,0,0
43,P13,12,1,0,6891,20372,0,0,0,0,0,0,0,0,0
44,P13,14,1,0,6891,20273,0,0,0,0,0,0,0,0,0
45,P13,15,1,0,6891,20252,0,0,0,0,0,0,0,0,0
46,P13,16,1,0,6891,20387,0,0,0,0,0,0,0,0,0
47,P13,17,1,0,6891,20496,0,0,0,0,0,0,0,0,0
48,P13,18,1,0,6891,20712,0,0,0,0,0,0,0,0,0
49,P13,19,1,0,6891,20679,0,0,0,0,0,0,0,0,0
50,P13,20,1,0,6891,20408,0,0,0,0,0,0,0,0,0
51,P13,21,1,0,6891,20407,0,0,0,0,0,0,0,0,0
52,P13,22,1,0,6891,20386,0,0,0,0,0,0,0,0,0
53,P19,0,1,1,6891,19913,0,0,0,0,0,0,0,0,0
54,P19,1,1,0,6891,19913,0,0,0,0,0,0,0,0,0
55,P19,2,1,0,6891,20121,0,0,0,0,0,0,0,0,0
56,P19,3,1,0,6891,20241,0,0,0,0,0,0,0,0,0
57,P19,4,1,0,6891,20380,0,0,0,0,0,0,0,0,0
58,P19,5,1,0,6891,20508,0,0,0,0,0,0,0,0,0
59,P19,6,1,0,6891,20591,0,0,0,0,0,0,0,0,0
60,P19,7,1,0,6891,20721,0,0,0,0,0,0,0,0,0
61,P19,8,0,0,7136,20721,0,0,0,0,0,0,0,0,0
