,participant,snapshot,NeuralNet.py_compiles,NeuralNetUtil.py_compiles,NeuralNet.py_length,NeuralNetUtil.py_length,q2_points,q1_points,q3_points,q4_points,total_points
0,P11,0,1,1,12685,5474,0,0,0,0,0.0
1,P11,1,1,1,12685,5474,0,0,0,0,0.0
2,P11,2,1,1,12685,5474,0,0,0,0,0.0
3,P11,3,1,1,12685,5474,0,0,0,0,0.0
4,P11,4,1,1,12685,5474,0,0,0,0,0.0
5,P11,5,1,1,12685,5474,0,0,0,0,0.0
6,P11,6,1,1,12724,5474,0,0,0,0,0.0
7,P11,7,1,1,12835,5474,0,0,0,0,0.0
8,P11,8,1,1,12909,5474,0,0,0,0,0.0
9,P11,9,1,1,13055,5474,0,2,0,0,2.0
10,P11,10,1,1,13150,5474,0,2,0,0,2.0
11,P11,11,1,1,13339,5474,0,2,0,0,2.0
12,P11,12,1,1,13577,5474,2,2,0,0,4.0
13,P11,13,1,1,13543,5474,2,2,0,0,4.0
14,P11,14,0,1,13371,5474,0,0,0,0,4.0
15,P11,15,0,1,13371,5474,0,0,0,0,4.0
16,P11,16,0,1,13371,5474,0,0,0,0,4.0
17,P11,17,0,1,13371,5474,0,0,0,0,4.0
18,P15,0,1,1,12685,5474,0,0,0,0,0.0
19,P15,1,1,1,12685,5474,0,0,0,0,0.0
20,P15,2,1,1,12747,5474,0,0,0,0,0.0
21,P15,3,1,1,12824,5474,0,0,0,0,0.0
22,P15,4,1,1,12942,5474,0,0,0,0,0.0
23,P15,5,1,1,12942,5474,0,0,0,0,0.0
24,P15,6,1,1,12948,5474,0,0,0,0,0.0
25,P15,7,1,1,12959,5474,0,0,0,0,0.0
26,P15,8,1,1,13051,5474,0,0,0,0,0.0
27,P15,9,0,1,13277,5474,0,0,0,0,0.0
28,P15,10,1,1,13321,5474,0,0,0,0,0.0
29,P15,11,1,1,13418,5474,0,0,0,0,0.0
30,P15,12,1,1,13523,5474,0,0,0,0,0.0
31,P15,13,1,1,13739,5474,0,2,0,0,2.0
32,P15,14,1,1,14032,5474,0,2,0,0,2.0
33,P15,15,1,1,14042,5474,0,2,0,0,2.0
34,P15,16,1,1,14104,5474,0,2,0,0,2.0
35,P15,17,1,1,14112,5474,0,2,0,0,2.0
36,P15,18,1,1,14356,5474,0,2,0,0,2.0
37,P15,19,1,1,14356,5474,0,2,0,0,2.0
38,P15,20,1,1,14356,5474,0,2,0,0,2.0
39,P16,0,1,1,12670,5471,0,0,0,0,0.0
40,P16,1,1,1,12670,5471,0,0,0,0,0.0
41,P16,2,1,1,12678,5471,0,0,0,0,0.0
42,P16,3,1,1,12689,5471,0,0,0,0,0.0
43,P16,4,1,1,12728,5471,0,0,0,0,0.0
44,P16,5,1,1,12777,5471,0,0,0,0,0.0
45,P16,6,1,1,12778,5471,0,0,0,0,0.0
46,P16,7,1,1,12820,5471,0,0,0,0,0.0
47,P16,8,1,1,12820,5471,0,0,0,0,0.0
48,P16,9,1,1,12851,5471,0,0,0,0,0.0
49,P16,10,0,1,12836,5471,0,0,0,0,0.0
50,P16,11,1,1,12873,5471,0,0,0,0,0.0
51,P16,12,1,1,12873,5471,0,0,0,0,0.0
52,P16,13,1,1,12855,5471,0,0,0,0,0.0
53,P16,14,1,1,12898,5471,0,0,0,0,0.0
54,P16,15,1,1,12901,5471,0,0,0,0,0.0
55,P16,16,1,1,12950,5471,0,0,0,0,0.0
56,P16,17,1,1,12963,5471,0,0,0,0,0.0
57,P16,18,1,1,12963,5471,0,0,0,0,0.0
58,P16,19,1,1,12969,5471,0,0,0,0,0.0
59,P16,20,1,1,12978,5471,0,0,0,0,0.0
60,P19,0,1,1,12685,5474,0,0,0,0,0.0
61,P19,1,1,1,12685,5474,0,0,0,0,0.0
62,P19,2,1,1,12726,5474,0,0,0,0,0.0
63,P19,3,1,1,12840,5474,0,0,0,0,0.0
