,participant,snapshot,NeuralNet.py_compiles,NeuralNetUtil.py_compiles,NeuralNet.py_length,NeuralNetUtil.py_length,q2_points,q1_points,q3_points,q4_points,total_points,total_points_max
0,P11,0,1,1,12685,5474,0,0,0,0,0,0
1,P11,1,1,1,12685,5474,0,0,0,0,0,0
2,P11,41,1,1,12685,5474,0,0,0,0,0,0
3,P11,45,0,1,12724,5474,0,0,0,0,0,0
4,P11,46,0,1,12826,5474,0,0,0,0,0,0
5,P11,47,0,1,12835,5474,0,0,0,0,0,0
6,P11,48,0,1,13055,5474,0,0,0,0,0,0
7,P11,49,0,1,13150,5474,0,0,0,0,0,0
8,P11,50,0,1,13306,5474,0,0,0,0,0,0
9,P11,51,0,1,13505,5474,0,0,0,0,0,0
10,P11,52,0,1,13585,5474,0,0,0,0,0,0
11,P11,53,0,1,13560,5474,0,0,0,0,0,0
12,P11,54,0,1,13391,5474,0,0,0,0,0,0
13,P11,56,0,1,13391,5474,0,0,0,0,0,0
14,P15,0,1,1,12685,5474,0,0,0,0,0,0
15,P15,1,0,1,12747,5474,0,0,0,0,0,0
16,P15,2,1,1,12778,5474,0,0,0,0,0,0
17,P15,3,0,1,12940,5474,0,0,0,0,0,0
18,P15,5,0,1,12950,5474,0,0,0,0,0,0
19,P15,6,1,1,12957,5474,0,0,0,0,0,0
20,P15,7,0,1,13040,5474,0,0,0,0,0,0
21,P15,8,0,1,13206,5474,0,0,0,0,0,0
22,P15,9,0,1,13287,5474,0,0,0,0,0,0
23,P15,10,0,1,13266,5474,0,0,0,0,0,0
24,P15,11,0,1,13506,5474,0,0,0,0,0,0
25,P15,12,0,1,13727,5474,0,0,0,0,0,0
26,P15,13,0,1,14014,5474,0,0,0,0,0,0
27,P15,15,0,1,14094,5474,0,0,0,0,0,0
28,P15,16,0,1,14082,5474,0,0,0,0,0,0
29,P15,17,0,1,14337,5474,0,0,0,0,0,0
30,P15,19,0,1,14337,5474,0,0,0,0,0,0
31,P16,0,1,1,12685,5474,0,0,0,0,0,0
32,P16,1,1,1,12692,5474,0,0,0,0,0,0
33,P16,8,1,1,12694,5474,0,0,0,0,0,0
34,P16,9,0,1,12712,5474,0,0,0,0,0,0
35,P16,10,0,1,12744,5474,0,0,0,0,0,0
36,P16,11,0,1,12800,5474,0,0,0,0,0,0
37,P16,13,0,1,12810,5474,0,0,0,0,0,0
38,P16,14,0,1,12842,5474,0,0,0,0,0,0
39,P16,15,0,1,12885,5474,0,0,0,0,0,0
40,P16,16,0,1,12870,5474,0,0,0,0,0,0
41,P16,17,0,1,12907,5474,0,0,0,0,0,0
42,P16,19,0,1,12901,5474,0,0,0,0,0,0
43,P16,20,0,1,12944,5474,0,0,0,0,0,0
44,P16,21,0,1,12946,5474,0,0,0,0,0,0
45,P16,22,0,1,12988,5474,0,0,0,0,0,0
46,P16,23,0,1,12997,5474,0,0,0,0,0,0
47,P16,24,0,1,13008,5474,0,0,0,0,0,0
48,P16,25,0,1,13020,5474,0,0,0,0,0,0
49,P16,26,0,1,13031,5474,0,0,0,0,0,0
50,P19,0,1,1,12685,5474,0,0,0,0,0,0
51,P19,1,1,1,12685,5474,0,0,0,0,0,0
52,P19,3,1,1,12685,5474,0,0,0,0,0,0
53,P19,4,0,1,12744,5474,0,0,0,0,0,0
54,P19,5,0,1,12937,5474,0,0,0,0,0,0
55,P19,6,0,1,13160,5474,0,0,0,0,0,0
56,P19,8,0,1,13510,5474,0,0,0,0,0,0
57,P19,9,0,1,13548,5474,0,0,0,0,0,0
58,P19,10,0,1,13595,5474,0,0,0,0,0,0
59,P19,11,0,1,13600,5474,0,0,0,0,0,0
60,P19,12,0,1,13688,5474,0,0,0,0,0,0
61,P19,13,0,1,13628,5474,0,0,0,0,0,0
62,P19,14,0,1,13610,5474,0,0,0,0,0,0
